"AMRITSAR            ","INDIA               ","53:57   ","+05:50:00","NORTH","31.42 ","EAST","74.8  ","+1","      107"
"ATAR                ","MAURITANIA          ","52:1    "," 00:00:00","NORTH","20.30 ","WEST","13.3  ","-1","      108"
"ARTESIA             ","NEW MEXICO          ","2:8     ","-07:00:00","NORTH","32.51 ","WEST","104.28","+1","      109"
"APPLETON            ","WISCONSIN           ","8:0     ","-06:00:00","NORTH","44.15 ","WEST","88.1  ","+1","      110"
"ARUBA               ","ARUBA               ","40:0    ","-04:00:00","NORTH","12.30 ","WEST","70.1  ","-1","      111"
"ABU DHABI           ","AE                  ","23:57   ","+04:00:00","NORTH","24.26 ","EAST","54.9  ","+1","      112"
"AUSTIN              ","TEXAS               ","28:0    ","-06:00:00","NORTH","30.18 ","WEST","97.2  ","-1","      113"
"WAUSAU              ","WISCONSIN           ","3:58    ","-06:00:00","NORTH","44.55 ","WEST","89.7  ","+1","      114"
"AVIANO              ","ITALY               ","11:58   ","+01:00:00","NORTH","46.2  ","EAST","12.6  ","+1","      115"
"ASHEVILLE           ","NC                  ","28:0    ","-05:00:00","NORTH","35.26 ","WEST","82.2  ","-1","      116"
"SCRANTON            ","PA                  ","0:1     ","-05:00:00","NORTH","41.20 ","WEST","75.4  ","-1","      117"
"AVALON              ","NSW AUSTRAL         ","22:8    ","+10:00:00","SOUTH","38.2  ","EAST","144.28","+1","      118"
"WAKE ISLAND         ","USTT                ","6:32    ","+11:00:00","NORTH","19.17 ","EAST","166.38","-1","      119"
"AHWAZ               ","IRAN                ","12:2    ","+03:00:00","NORTH","31.20 ","EAST","48.6  ","-1","      120"
"ALEXANDROUPOLIS     ","GRE                 ","19:58   ","+02:00:00","NORTH","40.51 ","EAST","25.7  ","+1","      121"
"ALTUS               ","OKLAHOMA            ","37:20   ","-06:00:00","NORTH","34.42 ","WEST","99.20 ","-1","      122"
"AKITA               ","JAPAN               ","20:16   ","+09:00:00","NORTH","39.42 ","EAST","140.04","-1","      123"
"WAPAKONETA          ","OHIO                ","37:12   ","-05:00:00","NORTH","40.30 ","WEST","84.18 ","-1","      124"
"ANTALYA             ","TURKEY              ","56:52   ","+03:00:00","NORTH","36.54 ","EAST","30.47 ","+1","      125"
"YAZD                ","IRAN                ","37:8    ","+03:00:00","NORTH","31.54 ","EAST","54.17 ","-1","      126"
"KALAMAZOO           ","MICHIGAN            ","42:12   ","-05:00:00","NORTH","42.14 ","WEST","85.33 ","-1","      127"
"MARYSVILLE          ","CA                  ","5:44    ","-08:00:00","NORTH","39.8  ","WEST","121.26","-1","      128"
"SHREVEPORT          ","LA                  ","14:40   ","-06:00:00","NORTH","32.30 ","WEST","93.40 ","-1","      129"
"WESTFIELD           ","MA                  ","9:8     ","-05:00:00","NORTH","42.10 ","WEST","72.43 ","+1","      130"
"MANAMAH             ","BAHRAIN             ","22:32   ","+03:00:00","NORTH","26.16 ","EAST","50.38 ","-1","      131"
"BAKU                ","USSR                ","19:56   ","+03:00:00","NORTH","40.30 ","EAST","49.59 ","-1","      132"
"BATTLE MOUNTAIN     ","NV,U                ","12:32   ","-08:00:00","NORTH","0.36  ","WEST","116.52","+1","      133"
"BARRANQUILLA        ","CO                  ","120:52  ","-07:00:00","NORTH","10.54 ","WEST","74.47 ","+1","      134"
"BALMACEDA           ","CHILE               ","46:48   ","-04:00:00","SOUTH","45.55 ","WEST","71.42 ","-1","      135"
"BUCHAREST           ","ROMANIA             ","15:36   ","+02:00:00","NORTH","44.30 ","EAST","26.06 ","+1","      136"
"BLACKSBURG          ","VIRGINIA            ","21:36   ","-05:00:00","NORTH","37.12 ","WEST","80.24 ","-1","      137"
"BRYCE CANYON        ","UTAH                ","28:36   ","-07:00:00","NORTH","37.42 ","WEST","112.09","-1","      138"
"BARCELONA           ","SPAIN               ","51:36   ","+01:00:00","NORTH","41.18 ","EAST","2.06  ","+1","      139"
"BOCA RATON          ","FLORIDA             ","20:28   ","-05:00:00","NORTH","26.22 ","WEST","80.07 ","-1","      140"
"HAMILTON            ","BERMUDA             ","18:44   ","-04:00:00","NORTH","32.22 ","WEST","64.41 ","-1","      141"
"BAUDETTE            ","MINNESOTA           ","18:24   ","-06:00:00","NORTH","48.43 ","WEST","94.36 ","-1","      142"
"BLANDING            ","UTAH                ","17:56   ","-07:00:00","NORTH","37.35 ","WEST","109.29","-1","      143"
"BANDAR LENGEH       ","IRAN                ","39:16   ","+03:00:00","NORTH","26.32 ","EAST","54.49 ","-1","      144"
"HARTFORD            ","CT                  ","9:16    ","-05:00:00","NORTH","41.56 ","WEST","72.41 ","+1","      145"
"BANDIRMA            ","TURKEY              ","68:4    ","+03:00:00","NORTH","40.19 ","EAST","27.59 ","+1","      146"
"VADODARA            ","INDIA               ","57:8    ","+05:50:00","NORTH","22.20 ","EAST","73.13 ","+1","      147"
"BRIDGEPORT          ","CT                  ","7:32    ","-05:00:00","NORTH","41.10 ","WEST","73.07 ","+1","      148"
"BRINDISI            ","ITALY               ","11:48   ","+01:00:00","NORTH","40.39 ","EAST","17.57 ","-1","      149"
"BARDUFOSS           ","NORWAY              ","14:8    ","+01:00:00","NORTH","69.3  ","EAST","18.32 ","-1","      150"
"BEDFORD             ","MA                  ","14:52   ","-05:00:00","NORTH","42.28 ","WEST","71.17 ","+1","      151"
"BELGRADE            ","YUGOSLAVIA          ","21:16   ","+01:00:00","NORTH","44.49 ","EAST","20.19 ","-1","      152"
"BENTON HARBOR       ","MI                  ","45:44   ","-05:00:00","NORTH","42.8  ","WEST","86.26 ","-1","      153"
"BELEM               ","BRAZIL              ","13:56   ","-03:00:00","SOUTH","1.23  ","WEST","48.29 ","-1","      154"
"BENGHAZI            ","LIBYA               ","38:52   ","+02:00:00","NORTH","32.6  ","EAST","20.17 ","+1","      155"
"BREST               ","FRANCE              ","42:20   ","+01:00:00","NORTH","48.27 ","WEST","4.25  ","+1","      156"
"BETHEL              ","ALASKA              ","107:20  ","-09:00:00","NORTH","60.47 ","WEST","161.50","-1","      157"
"BEIRA               ","MOZAMBIQUE          ","19:40   ","+02:00:00","SOUTH","19.48 ","EAST","34.55 ","-1","      158"
"BEIRUT              ","LEBANON             ","21:56   ","+02:00:00","NORTH","33.49 ","EAST","35.29 ","-1","      159"
"BRADFORD            ","PA                  ","14:32   ","-05:00:00","NORTH","41.48 ","WEST","78.38 ","-1","      160"
"SCOTTSBLUFF         ","NE                  ","5:36    ","-07:00:00","NORTH","41.53 ","WEST","103.36","+1","      161"
"SEATTLE             ","WASHINGTON          ","9:12    ","-08:00:00","NORTH","47.32 ","WEST","122.18","-1","      162"
"BAKERSFIELD         ","CA                  ","3:48    ","-08:00:00","NORTH","35.26 ","WEST","119.03","+1","      163"
"MOBILE              ","ALABAMA             ","7:44    ","-06:00:00","NORTH","30.38 ","WEST","88.04 ","+1","      164"
"BLOEMFONTEIN        ","ZA                  ","14:48   ","+02:00:00","SOUTH","29.6  ","EAST","26.18 ","+1","      165"
"BELFAST             ","UK                  ","24:56   "," 00:00:00","NORTH","54.39 ","WEST","6.14  ","-1","      166"
"BUCARAMANGA         ","COLOMBIA            ","7:28    ","-05:00:00","NORTH","7.6   ","WEST","73.08 ","+1","      167"
"BORGER              ","TEXAS               ","45:36   ","-06:00:00","NORTH","35.42 ","WEST","101.24","-1","      168"
"BANGUI C.           ","C. AFERICA          ","14:4    ","+01:00:00","NORTH","4.24  ","EAST","18.31 ","-1","      169"
"BRIDGETOWN          ","BARBADOS            ","2:0     ","-04:00:00","NORTH","13.4  ","WEST","59.30 ","+1","      170"
"BINGHAMTON          ","NEW YORK            ","3:52    ","-05:00:00","NORTH","42.12 ","WEST","75.58 ","-1","      171"
"BERGEN              ","NORWAY              ","39:8    ","+01:00:00","NORTH","60.18 ","EAST","5.13  ","+1","      172"
"BANGOR              ","MAINE               ","24:40   ","-05:00:00","NORTH","44.48 ","WEST","68.50 ","+1","      173"
"BERGAMO             ","ITALY               ","21:12   ","+01:00:00","NORTH","45.40 ","EAST","9.42  ","+1","      174"
"BAR HARBOR          ","MAINE               ","26:32   ","-05:00:00","NORTH","44.27 ","WEST","68.22 ","+1","      175"
"BISHA               ","SAUDIA ARABIA       ","9:28    ","+03:00:00","NORTH","19.59 ","EAST","42.38 ","+1","      176"
"BAHIA BLANCA        ","AR                  ","68:36   ","-03:00:00","SOUTH","38.44 ","WEST","62.09 ","-1","      177"
"BHUJ                ","INDIA               ","71:20   ","+05:50:00","NORTH","23.17 ","EAST","69.40 ","+1","      178"
"BIRMINGHAM          ","UK                  ","7:0     "," 00:00:00","NORTH","52.27 ","WEST","1.45  ","-1","      179"
"BELO HORIZONTE      ","BRAZ                ","4:8     ","-03:00:00","SOUTH","19.45 ","WEST","43.58 ","+1","      180"
"BASTIA              ","CORSICA FRA         ","22:4    ","+01:00:00","NORTH","42.33 ","EAST","9.29  ","+1","      181"
"BEATRICE            ","NEBRASKA            ","27:0    ","-06:00:00","NORTH","40.18 ","WEST","96.45 ","-1","      182"
"EL PASO             ","TEXAS               ","65:32   ","-06:00:00","NORTH","31.51 ","WEST","106.23","-1","      183"
"BIG DELTA           ","ALASKA              ","42:52   ","-09:00:00","NORTH","63.60 ","WEST","145.43","-1","      184"
"BISHOP              ","CALIFORNIA          ","6:32    ","-08:00:00","NORTH","37.22 ","WEST","118.22","+1","      185"
"BIAK                ","INDONESIA           ","124:20  ","+07:00:00","SOUTH","1.11  ","EAST","136.05","-1","      186"
"BILLINGS            ","MONTANA             ","14:12   ","-07:00:00","NORTH","45.48 ","WEST","108.33","-1","      187"
"BILBAO              ","SPAIN               ","48:20   ","+01:00:00","NORTH","43.18 ","WEST","2.55  ","+1","      188"
"BIARRITZ            ","FRANCE              ","53:56   ","+01:00:00","NORTH","43.28 ","WEST","1.31  ","+1","      189"
"BISMARCK/MANDAN     ","ND                  ","43:0    ","-06:00:00","NORTH","46.47 ","WEST","100.45","-1","      190"
"BILOXI              ","MISSISSIPPI         ","4:20    ","-06:00:00","NORTH","30.25 ","WEST","88.55 ","+1","      191"
"BROOMFIELD          ","COLORADO            ","420:28  "," 00:00:00","NORTH","39.54 ","WEST","105.07","-1","      192"
"BEMIDJI             ","MINNESOTA           ","19:44   ","-06:00:00","NORTH","47.31 ","WEST","94.56 ","-1","      193"
"WOOSTER             ","OHIO                ","27:32   ","-05:00:00","NORTH","40.52 ","WEST","81.53 ","-1","      194"
"BANJUL              ","GAMBIA              ","66:36   "," 00:00:00","NORTH","13.20 ","WEST","16.39 ","-1","      195"
"BUJUMBURA           ","BURUNDI             ","2:44    ","+02:00:00","SOUTH","3.20  ","EAST","29.19 ","+1","      196"
"BADAJOZ             ","SPAIN               ","32:44   ","+01:00:00","NORTH","38.54 ","WEST","6.49  ","+1","      197"
"BAKER               ","OREGON              ","8:44    ","-08:00:00","NORTH","44.50 ","WEST","117.49","+1","      198"
"BROOKS LAKE         ","ALASKA              ","84:56   ","-09:00:00","NORTH","58.36 ","WEST","156.14","-1","      199"
"BANGKOK             ","THAILAND            ","17:32   ","+07:00:00","NORTH","13.55 ","EAST","100.37","+1","      200"
